model_name,rank,true_intent,predicted_intent,error_count,class_support,percent_true_class_affected
DistilBERT,1,virtual_card_not_working,getting_virtual_card,6,8,75.0
DistilBERT,2,why_verify_identity,unable_to_verify_identity,4,24,16.67
DistilBERT,3,why_verify_identity,verify_my_identity,4,24,16.67
DistilBERT,4,top_up_reverted,top_up_failed,4,29,13.79
DistilBERT,5,pending_transfer,transfer_timing,4,30,13.33
DistilBERT,6,beneficiary_not_allowed,failed_transfer,4,31,12.9
DistilBERT,7,direct_debit_payment_not_recognised,card_payment_not_recognised,4,37,10.81
DistilBERT,8,card_delivery_estimate,card_arrival,3,22,13.64
DistilBERT,9,pending_top_up,top_up_failed,3,30,10.0
DistilBERT,10,pending_transfer,transfer_not_received_by_recipient,3,30,10.0
DistilBERT,11,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,3,34,8.82
DistilBERT,12,transfer_not_received_by_recipient,transfer_timing,3,34,8.82
DistilBERT,13,get_disposable_virtual_card,getting_virtual_card,2,19,10.53
DistilBERT,14,verify_my_identity,unable_to_verify_identity,2,21,9.52
DistilBERT,15,card_not_working,declined_card_payment,2,22,9.09
DistilBERT,16,top_up_by_bank_transfer_charge,top_up_by_card_charge,2,22,9.09
DistilBERT,17,pin_blocked,get_physical_card,2,23,8.7
DistilBERT,18,disposable_card_limits,get_disposable_virtual_card,2,24,8.33
DistilBERT,19,disposable_card_limits,getting_virtual_card,2,24,8.33
DistilBERT,20,supported_cards_and_currencies,fiat_currency_support,2,26,7.69
BERT-base,1,top_up_reverted,top_up_failed,5,29,17.24
BERT-base,2,card_delivery_estimate,card_arrival,4,22,18.18
BERT-base,3,why_verify_identity,unable_to_verify_identity,4,24,16.67
BERT-base,4,pending_top_up,top_up_failed,4,30,13.33
BERT-base,5,pending_transfer,transfer_timing,4,30,13.33
BERT-base,6,wrong_exchange_rate_for_cash_withdrawal,wrong_amount_of_cash_received,4,33,12.12
BERT-base,7,balance_not_updated_after_bank_transfer,transfer_timing,4,34,11.76
BERT-base,8,direct_debit_payment_not_recognised,card_payment_not_recognised,4,37,10.81
BERT-base,9,virtual_card_not_working,getting_virtual_card,3,8,37.5
BERT-base,10,topping_up_by_card,supported_cards_and_currencies,3,21,14.29
BERT-base,11,why_verify_identity,verify_my_identity,3,24,12.5
BERT-base,12,declined_transfer,declined_card_payment,3,27,11.11
BERT-base,13,pending_transfer,balance_not_updated_after_bank_transfer,3,30,10.0
BERT-base,14,beneficiary_not_allowed,failed_transfer,3,31,9.68
BERT-base,15,reverted_card_payment?,declined_card_payment,3,32,9.38
BERT-base,16,transfer_not_received_by_recipient,transfer_timing,3,34,8.82
BERT-base,17,contactless_not_working,order_physical_card,2,7,28.57
BERT-base,18,card_swallowed,lost_or_stolen_card,2,12,16.67
BERT-base,19,compromised_card,card_payment_not_recognised,2,17,11.76
BERT-base,20,get_disposable_virtual_card,getting_virtual_card,2,19,10.53
