text,label,intent_name,orig_train_index
I cannot find my PIN.,38,get_physical_card,4037
is the a reason why my transfer has failed?,35,failed_transfer,7482
Is it free to transfer money or is there a fee?,64,transfer_fee_charged,7276
Are extra cards free?,39,getting_spare_card,7920
Why couldn't I get cash from an ATM?,26,declined_cash_withdrawal,4991
There are a couple payments with my card shown that I'm not responsible for. What is going on? Maybe someone has access to my account.,16,card_payment_not_recognised,3594
Why is  my balance not updated?,5,balance_not_updated_after_bank_transfer,8716
to cash withdrawals charge me?,19,cash_withdrawal_charge,9478
If I need more than cards will I have to pay a fee to receive them?,39,getting_spare_card,7891
"I could not get a top-up to work, why?",59,top_up_failed,8580
Why do my transfers keep failing?,35,failed_transfer,7491
"Help, I don't see my money i just added.",47,pending_top_up,1970
You promised no fees but now I've got one. What the hell!?,15,card_payment_fee_charged,2696
"I think that someone may be using my card, but I'm not sure,.",22,compromised_card,4486
How can I make my card ready to use?,0,activate_my_card,9316
Is there a limit for age?,1,age_limit,1621
Transaction showing up many times.,63,transaction_charged_twice,6346
"Top up my card please, which y'all support?",54,supported_cards_and_currencies,2994
do i need to wait to get my card before getting a pin,38,get_physical_card,4070
My card is expiring soon.,9,card_about_to_expire,9578
How much is the exchange fee?,31,exchange_charge,8944
I want to set up an auto top-up,4,automatic_top_up,1148
My top is still pending.,47,pending_top_up,2000
What is the pending payment on my card about?,45,pending_card_payment,5238
Can I top-up by cheque?,58,top_up_by_cash_or_cheque,7972
When can I expect my refund?,51,Refund_not_showing_up,5790
I did not have the right exchange rate applied to my situation of pulling out cash,76,wrong_exchange_rate_for_cash_withdrawal,8298
It looks like my card payment was sent back.,53,reverted_card_payment?,6832
Why is there a direct debit set up in my name?,28,direct_debit_payment_not_recognised,4736
Is it possible to use my apple watch for topping up?,2,apple_pay_or_google_pay,9769
"My transfer went through, but it seems to be caught up in a pending status.  This was very important that it got done quickly, can you give me a status update on how long it will take?",48,pending_transfer,6131
