model_name,sample_id,text,true_intent,predicted_intent,confidence,second_intent,second_prob,margin
DistilBERT,1738,"|I moved out of my old house two weeks ago and cancelled my direct debit to my old landlord, this direct debit was working fine.  Now I've moved in to a new place and set up a transfer to a new landlord but it's not reached her yet, can you check it please?",transfer_not_received_by_recipient,direct_debit_payment_not_recognised,0.9302,balance_not_updated_after_bank_transfer,0.0057,0.9244
DistilBERT,111,The card payment didn't work,reverted_card_payment?,declined_card_payment,0.9165,card_not_working,0.0161,0.9004
DistilBERT,944,When I was in a restaurant today my card was declined and payment wouldn't go through and I need help. Can you fix this?,card_not_working,declined_card_payment,0.915,card_not_working,0.0215,0.8936
DistilBERT,851,"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",card_linking,activate_my_card,0.9092,card_linking,0.0306,0.8786
DistilBERT,892,You can use it anywhere that accepts Mastercard.,card_acceptance,visa_or_mastercard,0.9053,card_acceptance,0.0315,0.8738
DistilBERT,1107,Can I use app to reset PIN attempts?,card_not_working,pin_blocked,0.895,change_pin,0.0238,0.8712
DistilBERT,678,Is there an alternative to a physical card?,getting_virtual_card,order_physical_card,0.8804,card_acceptance,0.0345,0.8458
DistilBERT,170,I just got my card and cannot get it to work.,activate_my_card,card_not_working,0.875,declined_card_payment,0.0327,0.8423
DistilBERT,1384,Why is the transaction not posting?,pending_transfer,transfer_not_received_by_recipient,0.8706,pending_transfer,0.0208,0.8498
DistilBERT,1975,My cash withdrawal was not entirely complete,wrong_amount_of_cash_received,pending_cash_withdrawal,0.8691,cash_withdrawal_not_recognised,0.0355,0.8336
DistilBERT,1527,can i get a virtual card online,get_disposable_virtual_card,getting_virtual_card,0.8687,virtual_card_not_working,0.037,0.8316
DistilBERT,357,Which currencies do you handle?,supported_cards_and_currencies,fiat_currency_support,0.8677,supported_cards_and_currencies,0.0625,0.8052
DistilBERT,1978,I was spending cash with my card and got a fee.,card_payment_fee_charged,cash_withdrawal_charge,0.8633,card_payment_fee_charged,0.0797,0.7836
DistilBERT,495,"I would like to make a purchase, however my card has been declined. I would like to ask the reason for this. The past two weeks, the card has been working fine.",reverted_card_payment?,declined_card_payment,0.8613,top_up_failed,0.0199,0.8414
DistilBERT,1374,Why was my top-up declined?,top_up_reverted,top_up_failed,0.8574,top_up_reverted,0.0743,0.7831
DistilBERT,1454,Today I was out eating and my card was declined. Why's that?,card_not_working,declined_card_payment,0.8457,card_not_working,0.0538,0.7919
DistilBERT,1925,Which currencies do you work with?,supported_cards_and_currencies,fiat_currency_support,0.8433,supported_cards_and_currencies,0.0628,0.7805
DistilBERT,1111,Is my card actually working? It's the first time I tried using it,declined_cash_withdrawal,card_not_working,0.8398,card_linking,0.032,0.8079
DistilBERT,429,Where can I use a disposable card?,disposable_card_limits,get_disposable_virtual_card,0.8379,disposable_card_limits,0.082,0.7559
DistilBERT,577,I need my refund,Refund_not_showing_up,request_refund,0.832,Refund_not_showing_up,0.1364,0.6957
DistilBERT,1405,Can I use my virtual card to complete transactions for memberships?,virtual_card_not_working,getting_virtual_card,0.8296,virtual_card_not_working,0.0612,0.7684
DistilBERT,1830,The amount of cash I requested to withdrawal did not match what I received when exchanged,wrong_exchange_rate_for_cash_withdrawal,wrong_amount_of_cash_received,0.8276,wrong_exchange_rate_for_cash_withdrawal,0.1055,0.7222
DistilBERT,130,What currencies can I use to top up my account?,transfer_into_account,supported_cards_and_currencies,0.8271,top_up_by_cash_or_cheque,0.0529,0.7742
