focused_intent,priority_tier,comparison_category,sample_id,input_text,true_label,distilbert_prediction,distilbert_confidence,distilbert_correct,bert_prediction,bert_confidence,bert_correct
virtual_card_not_working,1,both_wrong,1405,Can I use my virtual card to complete transactions for memberships?,virtual_card_not_working,getting_virtual_card,0.8296,False,getting_virtual_card,0.8447,False
virtual_card_not_working,1,both_wrong,98,What do I have to do to get the virtual card to work?,virtual_card_not_working,getting_virtual_card,0.665,False,getting_virtual_card,0.3792,False
virtual_card_not_working,1,both_wrong,207,I can't use my virtual disposable card,virtual_card_not_working,get_disposable_virtual_card,0.5801,False,get_disposable_virtual_card,0.3059,False
virtual_card_not_working,1,both_wrong,498,Help me get the virtual card working.,virtual_card_not_working,getting_virtual_card,0.5767,False,getting_virtual_card,0.5181,False
virtual_card_not_working,2,distilbert_wrong_bert_correct,231,I can't make purchases with my virtual card.,virtual_card_not_working,getting_virtual_card,0.6797,False,virtual_card_not_working,0.4641,True
virtual_card_not_working,2,distilbert_wrong_bert_correct,1175,i cannot get virtual card to work,virtual_card_not_working,getting_virtual_card,0.4763,False,virtual_card_not_working,0.5059,True
virtual_card_not_working,2,distilbert_wrong_bert_correct,454,I can't get the virtual card to work,virtual_card_not_working,getting_virtual_card,0.3748,False,virtual_card_not_working,0.5293,True
virtual_card_not_working,4,both_correct,1704,I tried paying with my disposable virtual card earlier but it was rejected. What can I do to fix this?,virtual_card_not_working,virtual_card_not_working,0.4021,True,virtual_card_not_working,0.2681,True
getting_virtual_card,1,both_wrong,678,Is there an alternative to a physical card?,getting_virtual_card,order_physical_card,0.8804,False,order_physical_card,0.8511,False
getting_virtual_card,4,both_correct,78,Where can virtual cards be ordered?,getting_virtual_card,getting_virtual_card,0.8096,True,getting_virtual_card,0.8477,True
getting_virtual_card,4,both_correct,112,What do I have to do to get my virtual card?,getting_virtual_card,getting_virtual_card,0.8389,True,getting_virtual_card,0.8701,True
getting_virtual_card,4,both_correct,257,I've got to have one of those virtual cards.,getting_virtual_card,getting_virtual_card,0.8096,True,getting_virtual_card,0.8618,True
getting_virtual_card,4,both_correct,476,How do I go about getting a virtual card?,getting_virtual_card,getting_virtual_card,0.8535,True,getting_virtual_card,0.8691,True
getting_virtual_card,4,both_correct,806,How to receive virtual card?,getting_virtual_card,getting_virtual_card,0.8589,True,getting_virtual_card,0.8657,True
getting_virtual_card,4,both_correct,840,How do I go about getting hold of a virtual card?,getting_virtual_card,getting_virtual_card,0.8267,True,getting_virtual_card,0.8706,True
getting_virtual_card,4,both_correct,866,How do I get to the virtual cards?,getting_virtual_card,getting_virtual_card,0.8018,True,getting_virtual_card,0.8628,True
getting_virtual_card,4,both_correct,897,What is the virtual card and how can i get one?,getting_virtual_card,getting_virtual_card,0.8423,True,getting_virtual_card,0.8657,True
getting_virtual_card,4,both_correct,906,Are there virtual cards,getting_virtual_card,getting_virtual_card,0.771,True,getting_virtual_card,0.856,True
why_verify_identity,1,both_wrong,701,I'm not verifying my identity.,why_verify_identity,unable_to_verify_identity,0.7383,False,unable_to_verify_identity,0.7012,False
why_verify_identity,1,both_wrong,1269,I refuse to verify my identity.,why_verify_identity,unable_to_verify_identity,0.5186,False,unable_to_verify_identity,0.7192,False
why_verify_identity,1,both_wrong,240,How does identity check work?,why_verify_identity,verify_my_identity,0.4656,False,verify_my_identity,0.626,False
why_verify_identity,1,both_wrong,237,What is the purpose for verifying my identity?,why_verify_identity,verify_my_identity,0.5625,False,verify_my_identity,0.6011,False
why_verify_identity,1,both_wrong,1155,which identity details are required,why_verify_identity,verify_my_identity,0.4263,False,verify_my_identity,0.5225,False
